name,type,equipment,difficult
Seated Lat Pulldown,5,11,1
Seated Leg Extension,5,14,1
Seated Leg Press Exercise,5,15,1
Seated Close-Grip Shoulder Press,5,16,1
Seated Shoulder Press,5,16,1
Seated Cable Row,5,10,1
Standing Decline Cable Flyes,5,19,1
Hip Adduction,5,20,1
Hip Abduction,5,20,1
Standing Incline Cable Flyes,5,19,1
Tricep Extension,5,17,1
Calf Raise,5,1,1
Calf Raise on leg press,5,15,1
Glute Press,5,2,1
Lateral Shoulder Raise,5,3,1
Lying Hamstrings Curl,5,4,1
Seated Biceps Curl,5,5,1
Seated Chest Press,5,6,1
Seated Close-Grip Chest Press,5,6,1
Seated Crunch,5,8,1
Seated Incline Chest Press,5,7,1
Decline Chest Press,5,21,1
Seated Row,5,9,1
Back Squat,5,101,2
Barbell Jammers,5,101,3
Barbell Bent-over Row,5,101,3
Barbell Biceps Curl,5,101,2
Barbell Calf Raises,5,101,2
Barbell Bench Press,5,101,2
Barbell Close-grip Bench Press,5,101,2
Barbell Deadlift,5,101,3
Barbell Forward Lunge R,5,101,2
Barbell Forward Lunge L,5,101,2
Barbell Front Squat,5,101,3
Barbell Front Squat to Overhead Press,5,101,3
Barbell Hang Clean,2,101,3
Barbell Hip Bridge,5,101,2
Barbell Lying Triceps Extensions,5,101,2
Barbell Power Clean,2,101,3
Barbell Push Jerk,2,101,3
Barbell Reverse Bicep Curl,5,101,2
Barbell Reverse Lunge R,5,101,2
Barbell Reverse Lunge L,5,101,2
Barbell Romanian Deadlift,5,101,2
Barbell Seated Shoulder Press,5,101,2
Barbell Shrug,5,101,2
Barbell Snatch,2,101,3
Barbell Standing Shoulder Press,5,101,3
Barbell Incline Bench Press,5,101,2
Barbell Standing Military Press,5,101,2
Barbell Hip Thrust,5,101,2
Barbell Preacher Curl,5,101,1
Barbell Upright Row,5,101,2
Barbell T Bar Row,5,101,2
Barbell Decline Bench Press,5,101,2
Barbell Bulgarian Split Squat R,5,101,3
Barbell Bulgarian Split Squat L,5,101,3
Barbell Stiff-Leg Deadlift,5,101,2
Barbell Overhead Tricep Extension,5,101,2
Barbell Bent-Over Row (Reverse Grip),5,101,2
Barbell Military Press (Seated),5,101,2
Barbell Good Morning,5,101,2
Barbell Push Press,2,101,2
Barbell Front Raise,5,101,2
Barbell Sumo Deadlift,5,101,2
Barbell Seated Tricep Extension,5,101,2
Barbell Rack Pull,5,101,2
Barbell Incline Bench Row,5,101,2
Barbell Pullover,5,101,3
Barbell Clean and Jerk,5,101,3
Barbell Lateral Lunge,5,101,3
Barbell Squat with Narrow Stance,5,101,3
Barbell Decline Bench Press (Wide Grip),5,101,3
Barbell Landmine Squat,5,101,3
Barbell Overhead Squat,5,101,3
Barbell Incline Bench Press (Reverse Grip),5,101,3
Barbell Reverse Tricep Bench Press,5,101,3
Barbell Incline Shoulder Raise,5,101,3
Barbell Pullover and Press,5,101,3
Barbell Decline Bench Press (Reverse Grip),5,101,3
Barbell Squat to Upright Row,5,101,3
Seated Lat Pulldown(Pause),5,11,2
Seated Leg Extension(Pause),5,14,2
Seated Leg Press Exercise(Pause),5,15,2
Seated Close-Grip Shoulder Press(Pause),5,16,2
Seated Shoulder Press(Pause),5,16,2
Seated Cable Row(Pause),5,10,2
Standing Decline Cable Flyes(Pause),5,19,2
Standing Incline Cable Flyes(Pause),5,19,2
Tricep Extension(Pause),5,17,2
Calf Raise(Pause),5,1,2
Calf Raise on leg press(Pause),5,15,2
Glute Press(Pause),5,2,2
Lying Hamstrings Curl(Pause),5,4,2
Seated Biceps Curl(Pause),5,5,2
Seated Chest Press(Pause),5,6,2
Seated Close-Grip Chest Press(Pause),5,6,2
Seated Crunch(Pause),5,8,2
Seated Incline Chest Press(Pause),5,7,2
Decline Chest Press(Pause),5,21,2
Seated Row(Pause),5,9,2
Squat Jump(Count Movement),3,109,1
Squat Jump(Concentric),3,109,1
Drop Jump,3,109,3
Nordic Hamstring,5,109,3
Seated Leg Press Exercise(wide),5,15,2
Seated Leg Press Exercise(narrow),5,15,2
Seated single Leg Press Exercise R,5,15,2
Seated single Leg Press Exercise L,5,109,2
Dumbbell Bench Press,5,100,1
Dumbbell Fly,5,100,2
Incline Dumbbell Press,5,100,1
Decline Dumbbell Press,5,100,1
Dumbbell Pullover,5,100,3
Dumbbell Shoulder Press,5,100,1
Dumbbell Lateral Raise,5,100,2
Dumbbell Front Raise,5,100,2
Dumbbell Rear Delt Fly,5,100,3
Dumbbell Upright Row,5,100,2
Dumbbell Bicep Curl,5,100,1
Dumbbell Hammer Curl,5,100,1
Dumbbell Preacher Curl,5,100,1
Dumbbell Concentration Curl R,5,100,2
Dumbbell Concentration Curl L,5,100,2
Dumbbell Seated Tricep Extension,5,100,1
Dumbbell Kickback,5,100,1
Dumbbell Standing Tricep Extension,5,100,2
Dumbbell Bent-Over Row,5,100,2
Dumbbell One-Arm Row R,5,100,2
Dumbbell One-Arm Row L,5,100,2
Dumbbell Shrug,5,100,1
Dumbbell Deadlift,5,100,2
Dumbbell Squat,5,100,2
Dumbbell Lunge,5,100,2
Dumbbell Step-Up,5,100,2
Dumbbell Calf Raise,5,100,1
Dumbbell Russian Twist,5,100,2
Dumbbell Crunch,5,100,2
Dumbbell Side Bend,5,100,1
Dumbbell Woodchopper,5,100,2
Dumbbell Plank Row,5,100,3
Dumbbell Turkish Get-Up,5,100,3
Dumbbell Swing,5,100,2
Dumbbell Clean,2,100,3
Dumbbell Snatch,2,100,3
Dumbbell Jump Squat,3,100,3
Dumbbell Thruster,5,100,2
Dumbbell Renegade Row,5,100,2
Dumbbell Incline Row,5,100,2
Dumbbell Good Morning,5,100,2
Dumbbell Hip Thrust,5,100,2
Dumbbell Bulgarian Split Squat R,5,100,3
Dumbbell Bulgarian Split Squat L,5,100,3
Dumbbell Single-Leg Deadlift R,5,100,3
Dumbbell Single-Leg Deadlift L,5,100,3
Dumbbell Arnold Press,5,100,2
Dumbbell Reverse Fly,5,100,2
Dumbbell Pallof Press,5,100,2
Dumbbell Cross-Body Hammer Curl,5,100,2
Dumbbell Tricep Pullover,5,100,2
Dumbbell Front Squat,5,100,2
Dumbbell Goblet Squat,5,100,2
Dumbbell Lateral Lunge,5,100,2
Dumbbell Reverse Lunge,5,100,2
Dumbbell Crossover Lunge,5,100,3
Dumbbell Single-Arm Snatch R,2,100,3
Dumbbell Single-Arm Snatch L,2,100,3
Dumbbell Single-Arm Clean and Jerk R,2,100,3
Dumbbell Single-Arm Clean and Jerk L,2,100,3
Dumbbell Spider Curl,5,100,2
Dumbbell Zottman Curl,5,100,2
Dumbbell Incline Hammer Curl,5,100,2
Dumbbell Lying Tricep Extension,5,100,2
Dumbbell Incline Fly,5,100,2
Dumbbell Decline Fly,5,100,2
Dumbbell Crossover,5,100,2
Dumbbell Y Raise,5,100,2
Dumbbell Front Squat to Press,5,100,3
Dumbbell Lateral Raise Drop Set,5,100,2
Dumbbell Incline Y Raise,5,100,2
Dumbbell Standing Calf Raise,5,100,1
Dumbbell Seated Calf Raise,5,100,1
Dumbbell Single-Leg Calf Raise,5,100,2
Dumbbell Wrist Curl,5,100,1
Dumbbell Reverse Wrist Curl,5,100,1
Dumbbell Around the World,5,100,2
